3.071318613186123092e-01,2.958477006306272084e-01,2.845170115076520179e-01,2.869944832206529628e-01,2.739479029304945912e-01,3.047071783194492678e-01,3.234361588171473234e-01,2.813740497155330367e-01,2.102781143651734075e-01
1.427533312463208914e-01,1.319022340029795959e-01,1.291479031820231271e-01,1.615563834987317759e-01,1.324450065885107719e-01,1.304389484002055621e-01,1.368306093051470385e-01,1.157759113614968277e-01,9.602690692863438682e-02
1.030029218728549245e-01,9.558624465792442404e-02,8.630274246482713685e-02,1.415924615679733656e-01,9.519230333283877632e-02,7.706851945989739994e-02,8.915646463372782493e-02,7.692925566079429622e-02,7.448582754965570041e-02
1.083848512474526876e-01,9.910068052963344476e-02,9.219188867438894708e-02,1.435737049040323177e-01,1.032766653740299773e-01,1.082092652363128710e-01,1.069794777153048604e-01,9.581663191855463446e-02,2.077623508634932059e-01
3.954775993308552035e-02,3.989264156697148317e-02,2.968299184487745504e-02,3.836790203495943352e-02,6.441652186006942282e-02,3.036314604965494046e-02,2.504428269360373799e-02,2.545636332095219459e-02,9.595055751442993497e-02
2.098422558703610941e-02,1.959234658290583825e-02,1.337579370599777800e-02,1.599762247459909220e-02,2.049124329325904478e-02,1.159048989452728627e-02,1.014284288633142579e-02,1.162691812318827900e-02,3.444464374203939222e-02
6.341610582723448963e-02,7.012735576374376500e-02,4.450154451158962882e-02,5.549449386321648331e-02,5.837507204402306304e-02,4.684830861412082881e-02,3.444987954946607950e-02,5.014398090621136755e-02,8.084115519879860046e-02
9.145573647155653962e-02,9.749567137556815200e-02,7.581882907476823752e-02,8.510492748966715093e-02,7.988739949939925589e-02,7.260446758090595420e-02,5.572497453918451998e-02,8.981147321232865743e-02,3.960048001027078463e-02
9.115287551533238219e-02,1.116379199503348685e-01,8.024515490081800262e-02,7.704483108419814263e-02,8.435986100183846814e-02,7.339879130697597731e-02,6.505744099670772440e-02,9.275048779191327752e-02,4.664121222750735457e-02
1.022395771942798959e-01,1.284774522454219525e-01,9.127285554562196424e-02,8.714234081580639335e-02,8.773823300389299584e-02,8.042024501431184469e-02,7.020887066282642530e-02,1.014425326595396193e-01,4.864644234001984369e-02
1.392175044265199779e-01,1.610108797957237048e-01,1.257065607337605473e-01,1.150272366882975350e-01,1.175269221506097111e-01,1.060083736086171319e-01,9.297421334917334301e-02,1.306292760987349533e-01,7.528325207676427044e-02
1.273471333097478952e-01,1.426939648581154740e-01,1.228356224208866782e-01,1.052113620708674674e-01,1.072141134591396566e-01,9.840303884186206440e-02,1.147332264881581604e-01,1.203397097570616525e-01,7.583380480702185678e-02
