3.014067474760221410e-01,3.132544732780552788e-01,2.929013949836309916e-01,2.862993207406192564e-01,3.112868472299846201e-01,2.845967689033762071e-01,2.883202941510352169e-01,3.017044624543444020e-01,2.838766794937920279e-01,2.958536990802019262e-01
1.373688801891517763e-01,1.462845096571595283e-01,1.240518843998544563e-01,1.277635141830562593e-01,1.705815430730724114e-01,1.141835169863263388e-01,1.117923668042402063e-01,9.458520450456762985e-02,1.510634190040333613e-01,1.171597677101793439e-01
9.740673818929504457e-02,1.054814335823224952e-01,9.784717315346908029e-02,9.842937929579216594e-02,1.249512085580584270e-01,8.589622326583354339e-02,9.116973996268883107e-02,9.108232446401524907e-02,7.296553936221922276e-02,7.453133715709064910e-02
1.087802224361784226e-01,9.967463319090982821e-02,9.783508841477556173e-02,1.094454712149416226e-01,9.370463967922296189e-02,9.487372395271426173e-02,1.256675425484635733e-01,1.127055972567978515e-01,8.514513874765107515e-02,1.026388181062291571e-01
4.509250822147141402e-02,3.340992156473768238e-02,3.359284876872213610e-02,3.111826745617872828e-02,3.078174838968836258e-02,2.825633685377598389e-02,2.639462703328071883e-02,1.996943320941896999e-02,5.332731479247547479e-02,3.163840181891460629e-02
2.271063800642569158e-02,1.594113028628428227e-02,1.650668513027270246e-02,1.211180639503705789e-02,1.343482731242810410e-02,1.131799052025832253e-02,1.090934901004931082e-02,8.524314613601298093e-03,2.610908739509872414e-02,1.549626784369220051e-02
6.667609645173255828e-02,5.521349543535448989e-02,5.945084711244291720e-02,3.857042173949248171e-02,4.046570364057514024e-02,3.553808639492732346e-02,4.251866254209844126e-02,2.485520358028379603e-02,8.135242581822958730e-02,6.876939382875375817e-02
9.704272166870168970e-02,8.618468242044291516e-02,7.910099982820886777e-02,6.215916754251372967e-02,7.371950222081367909e-02,4.757206811246987577e-02,6.103091435683779403e-02,4.794656796365039109e-02,1.045810174181679153e-01,9.662872421856769090e-02
9.503456799423429247e-02,8.301803337362201329e-02,9.343026450204944267e-02,7.341526059931750836e-02,7.936801148040559251e-02,6.468000319126165909e-02,5.590322761173048549e-02,5.802725857292314465e-02,7.365524742320837814e-02,1.040405075007837382e-01
1.106920618201755746e-01,9.065169039852813415e-02,9.783730752766552075e-02,8.451117238092654971e-02,8.518779566341873333e-02,7.507231660213718738e-02,6.608005740936505334e-02,6.682603534919409616e-02,6.915876875404577961e-02,1.120113732034020149e-01
1.542713813751263874e-01,1.113308552925548756e-01,1.135304791862414009e-01,1.249166703502337106e-01,1.032612862803251458e-01,9.472935657129062659e-02,8.227135782506546369e-02,8.093078421952711043e-02,8.232063738468553549e-02,1.323046883204429813e-01
1.438053309465645302e-01,1.006570711464263856e-01,1.067065545549042982e-01,1.345751905524065484e-01,7.871947490937299119e-02,9.033131170942566845e-02,8.906064678414556124e-02,1.063433690223105493e-01,1.326861773139054179e-01,1.492605092269824740e-01
